City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Pisco,PE,2022-09-03 00:54:52,-13.7,-76.2167,60.85,82,100,11.5
276,Santa Vitoria Do Palmar,BR,2022-09-03 00:56:18,-33.5189,-53.3681,47.73,74,79,13.56
277,Ponta Delgada,PT,2022-09-03 01:00:28,37.7333,-25.6667,71.51,83,20,4.61
278,Honningsvag,NO,2022-09-03 01:00:28,70.9821,25.9704,44.35,76,100,14.97
279,Cauquenes,CL,2022-09-03 01:00:29,-35.9671,-72.3225,49.69,62,0,3.2
280,Taoudenni,ML,2022-09-03 01:00:29,22.6783,-3.9836,98.49,20,38,8.41
281,Karakol,KG,2022-09-03 01:00:29,42.4907,78.3936,56.23,25,0,4.0
282,Faya,SA,2022-09-03 01:00:30,18.3851,42.4509,66.56,40,3,4.52
283,Mirsid,RO,2022-09-03 01:00:30,47.2333,23.1333,55.71,94,100,4.72
284,Ust-Tsilma,RU,2022-09-03 01:00:31,65.441,52.1498,44.2,99,100,3.33
285,Tautira,PF,2022-09-03 01:00:31,-17.7333,-149.15,77.49,73,13,18.52
286,Khoy,IR,2022-09-03 01:00:32,38.5504,44.9535,73.56,22,1,2.28
287,Sindor,RU,2022-09-03 01:00:32,62.8629,51.8905,43.0,97,100,4.27
288,Imbituba,BR,2022-09-03 01:00:33,-28.24,-48.6703,63.86,93,100,11.9
289,Boissevain,CA,2022-09-03 01:00:33,49.2306,-100.0559,66.7,39,0,6.26
290,Romny,UA,2022-09-03 01:00:33,50.751,33.4747,50.86,54,100,6.58
291,Banda Aceh,ID,2022-09-03 01:00:34,5.5577,95.3222,80.19,75,80,13.38
